WALL-E Simulation Telemetry Log
Duration: 20.33s
Total Events: 58

--- Statistics ---
total_trash_collected: 2
total_trash_dumped: 0
total_distance_traveled: 981.7558107663351
state_changes: 56
collisions: 0

--- Events ---
[3.03] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[3.47] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[3.50] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[3.54] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[3.64] Robot 0 - trash_pickup: {'trash_id': 15}
[3.64] Robot 0 - state_change: {'from': 'picking', 'to': 'storing'}
[3.74] Robot 0 - state_change: {'from': 'storing', 'to': 'patrol'}
[4.39] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[4.87] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[4.90] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[4.94] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[5.01] Robot 0 - trash_pickup: {'trash_id': 14}
[5.01] Robot 0 - state_change: {'from': 'picking', 'to': 'storing'}
[5.11] Robot 0 - state_change: {'from': 'storing', 'to': 'patrol'}
[5.14] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[5.82] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[5.85] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[5.89] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[7.42] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[7.45] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[7.49] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[7.52] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[7.56] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[9.09] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[9.12] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[9.15] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[9.19] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[9.22] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[10.75] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[10.78] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[10.82] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[10.85] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[11.13] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[12.65] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[12.69] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[12.72] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[12.75] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[12.79] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[14.32] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[14.36] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[14.39] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[14.42] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[14.46] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[15.98] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[16.02] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[16.05] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[16.08] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[16.12] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[17.72] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[17.75] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[17.79] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[17.82] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[17.85] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
[19.38] Robot 0 - state_change: {'from': 'picking', 'to': 'patrol'}
[19.42] Robot 0 - state_change: {'from': 'patrol', 'to': 'investigating'}
[19.45] Robot 0 - state_change: {'from': 'investigating', 'to': 'seeking'}
[19.49] Robot 0 - state_change: {'from': 'seeking', 'to': 'approaching'}
[19.52] Robot 0 - state_change: {'from': 'approaching', 'to': 'picking'}
